"DATE","ACTIVE USER NUMBER"
"7/6/2016",19
"7/7/2016",19
"7/8/2016",22
"7/11/2016",20
"7/12/2016",19
"7/13/2016",20
"7/14/2016",18
"7/15/2016",12
"7/16/2016",1
"7/17/2016",3
"7/18/2016",21
"7/19/2016",19
"7/20/2016",21
"7/21/2016",17
"7/22/2016",14
"7/23/2016",1
"7/24/2016",1
"7/25/2016",22
"7/26/2016",19
"7/27/2016",19
"7/28/2016",22
"7/29/2016",17
"8/1/2016",18
"7/31/2016",4
"8/2/2016",15
"8/3/2016",19
"8/4/2016",19
"8/5/2016",15
"8/7/2016",2
"8/8/2016",18
"8/9/2016",21
"8/10/2016",23
"8/11/2016",15
"8/12/2016",17
"8/13/2016",5
"8/14/2016",1
"8/15/2016",21
"8/16/2016",20
"8/17/2016",27
"8/18/2016",19
"8/19/2016",14
"8/20/2016",3
"8/21/2016",2
"8/22/2016",16
"8/23/2016",20
"8/24/2016",19
"8/25/2016",16
"8/26/2016",14
"8/27/2016",1
"8/28/2016",2
"8/29/2016",24
"8/30/2016",17
"9/1/2016",18
"8/31/2016",16
"9/2/2016",11
"9/4/2016",1
"9/5/2016",3
"9/6/2016",20
"9/7/2016",23
"9/8/2016",23
"9/9/2016",19
"9/10/2016",3
"9/11/2016",2
"9/12/2016",19
"9/13/2016",16
"9/14/2016",19
"9/15/2016",19
"9/16/2016",14
"9/17/2016",1
"9/18/2016",2
"9/19/2016",18
"9/20/2016",17
"9/21/2016",14
"9/22/2016",16
"9/23/2016",11
"9/24/2016",1
"9/25/2016",2
"9/26/2016",13
"9/27/2016",13
"9/28/2016",13
"9/29/2016",12
"9/30/2016",12
"10/3/2016",1